 MAB conc./(mg/mL)     viscosity/cP
   0.00002   1.00050
   0.16868   1.00254
   0.33735   1.00458
   0.50601   1.00663
   0.67468   1.00869
   0.84334   1.01076
   1.01201   1.01283
   1.18067   1.01491
   1.34934   1.01700
   1.51800   1.01909
   1.68667   1.02119
   1.85533   1.02330
   2.02400   1.02542
   2.19266   1.02754
   2.36133   1.02967
   2.52999   1.03181
   2.69866   1.03395
   2.86732   1.03611
   3.03599   1.03826
   3.20465   1.04043
   3.37332   1.04261
   3.54198   1.04479
   3.71065   1.04698
   3.87931   1.04917
   4.04798   1.05138
   4.21664   1.05359
   4.38531   1.05581
   4.55397   1.05803
   4.72264   1.06027
   4.89130   1.06251
   5.05997   1.06476
   5.22863   1.06701
   5.39730   1.06928
   5.56596   1.07155
   5.73463   1.07383
   5.90329   1.07611
   6.07196   1.07841
   6.24062   1.08071
   6.40929   1.08302
   6.57795   1.08533
   6.74662   1.08766
   6.91528   1.08999
   7.08395   1.09233
   7.25261   1.09468
   7.42128   1.09703
   7.58994   1.09940
   7.75861   1.10177
   7.92727   1.10415
   8.09594   1.10653
   8.26460   1.10893
   8.43327   1.11133
   8.60193   1.11374
   8.77060   1.11616
   8.93926   1.11858
   9.10793   1.12101
   9.27659   1.12346
   9.44526   1.12591
   9.61392   1.12836
   9.78259   1.13083
   9.95125   1.13330
  10.11992   1.13578
  10.28858   1.13827
  10.45725   1.14077
  10.62591   1.14327
  10.79458   1.14579
  10.96324   1.14831
  11.13191   1.15084
  11.30057   1.15338
  11.46924   1.15592
  11.63790   1.15848
  11.80657   1.16104
  11.97523   1.16361
  12.14390   1.16619
  12.31256   1.16878
  12.48123   1.17137
  12.64989   1.17398
  12.81856   1.17659
  12.98722   1.17921
  13.15589   1.18184
  13.32455   1.18447
  13.49322   1.18712
  13.66188   1.18977
  13.83055   1.19244
  13.99921   1.19511
  14.16788   1.19779
  14.33654   1.20048
  14.50521   1.20317
  14.67387   1.20588
  14.84254   1.20859
  15.01120   1.21131
  15.17987   1.21404
  15.34853   1.21678
  15.51720   1.21953
  15.68586   1.22229
  15.85453   1.22506
  16.02319   1.22783
  16.19186   1.23061
  16.36052   1.23340
  16.52919   1.23621
  16.69785   1.23902
  16.86652   1.24183
  17.03518   1.24466
  17.20385   1.24750
  17.37251   1.25034
  17.54118   1.25320
  17.70984   1.25606
  17.87851   1.25893
  18.04717   1.26181
  18.21584   1.26470
  18.38450   1.26760
  18.55317   1.27051
  18.72183   1.27343
  18.89050   1.27636
  19.05916   1.27929
  19.22783   1.28224
  19.39649   1.28519
  19.56516   1.28816
  19.73382   1.29113
  19.90249   1.29411
  20.07115   1.29710
  20.23982   1.30010
  20.40848   1.30311
  20.57715   1.30613
  20.74581   1.30916
  20.91448   1.31220
